,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
459,퍼스트 드랍 메르 에 피스 샤르도네,FIRST DROP MOTHER'S MERE ET FILS CHARDONNAY,White,호주,아들레이드힐,FIRST DROP WINES,12.5 %,샤르도네(CHARDONNAY) 100%,"39,000원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2697
460,퍼스트 드랍 마더스 밀크 쉬라즈,FIRST DROP MOTHER'S MILK SHIRAZ,Red,호주,바로사밸리,FIRST DROP WINES,14.5%,쉬라즈(SHIRAZ) 100%,"39,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2696
461,퍼스트 드랍 마더스 루인 카베르네 소비뇽,FIRST DROP MOTHER'S RUIN CABERNET SAUVIGNON,Red,호주,맥라렌베일,FIRST DROP WINES,13.5%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"39,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2695
462,아라스 이제이 카 레이트 디스고르쥬,ARRAS E.J.CARR LATE DISGOARGED,Sparkling,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,13%,"샤르도네(CHARDONNAY) 69.2% , 피노 누아(PINOT NOIR) 30.8%","229,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2693
463,더 바이스 카베르네 소비뇽 하웰 마운틴,THE VICE CABERNET SAUVIGNON HOWELL MOUNTAIN,Red,미국,"미국, 캘리포니아 나파",The Vice,15%,"카베르네 소비뇽(CABERNET SAUVIGNON) 99%, 메를로(MERLOT) 1%","130,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2689
464,더 바이스 '더 트리 블렌드',THE VICE 'THE TRI BLEND',Red,미국,"미국, 캘리포니아 나파",The Vice,14.6%,"말벡(MALBEC) 54% , 카베르네 소비뇽(CABERNET FRANC) 30%, 쁘띠 시라(PETITE SIRAH) 16%","79,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2687
465,페를라토 델 보스코 비앙코,PERLATO DEL BOSCO BIANCO,White,이탈리아,"이태리, 토스카나",AZIENDA AGRICOLA TUA RITA,14%,베르멘티노(VERMENTINO) 100%,"60,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2684
466,르 모르텔레 비비아,LE MORTELLE VIVIA,White,이탈리아,"이태리, 토스카나",MARCHESI ANTINORI S.P.A.,13%,"베르멘티노(VERMENTINO) 50% , 비오니에(VIOGNIER) 40%, 안소니카(Ansonica) 10%","35,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2683
467,파이-카리네라 싱글 퍼멘트 시리즈 피닉스 퍼멘트,PAIS-CARIGNERA SINGLE FERMENT SERIES,White,칠레,센트럴밸리,가라지와인(Garage Wine Co.),12.8%,"알리아니코(AGLIANICO) 70% , 생소(CINSAULT) 30%","39,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2678
468,피르케빈야드 카베르네 프랑 로트 90,PIRQUE VINEYARD CABERNET FRANC LOT 90,Red,칠레,마이포밸리,가라지와인(Garage Wine Co.),14%,카베르네 프랑(CABERNET FRANC) 100%,"80,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2677
469,생소 싱글 퍼멘트 시리즈 더 수스 세이어스 퍼멘트,VIGNO DRY FARMED OLD VINES MAULE VALLEY,Red,칠레,센트럴밸리,가라지와인(Garage Wine Co.),13.8%,생소(CINSAULT) 100%,"39,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2674
470,비뇨 드라이 팜 올드바인 마울레 밸리,VIGNO DRY FARMED OLD VINES MAULE VALLEY,Red,칠레,센트럴밸리,가라지와인(Garage Wine Co.),13%,카리냥(CARIGNAN) 100%,"110,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2673
471,바구알 빈야드 칼리보로 로트 79 가르나차,BAGUAL VINEYARD CALIBORO LOT 79 GARNACHA,Red,칠레,센트럴밸리,가라지와인(Garage Wine Co.),14.9%,그르나슈(GRENACHE) 100%,"80,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2672
472,쿠네 리오하 오가닉 레드,CUNE RIOJA ORGANIC RED,Red,스페인,리오하 알타,,,템프라니요 (Tempranillo) 100%,"32,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2670
473,커치 소노마 코스트 피노누아,KUTCH SONOMA COAST PINOT NOIR,Red,미국,"미국, 캘리포니아 소노마",Kutch Wines,13.2%,피노누아 (PINOT NOIR) 100%,"99,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2667
474,커치 맥두갈 랜치 소노마 코스트 피노누아,KUTCH MCDOUGALL VINEYARD SONOMA COAST PINOT NOIR,Red,미국,"미국, 캘리포니아 소노마",Kutch Wines,13.5%,피노누아 (PINOT NOIR) 100%,"130,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2666
475,커치 시그널 릿지 빈야드 멘도치노 피노누아,KUTCH SIGNAL RIDGE VINEYARD MENDOCINO PINOT NOIR,Red,미국,"미국, 캘리포니아 소노마",Kutch Wines,12%,피노누아 (PINOT NOIR) 100%,"59,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2665
476,요하닝거 레드,JOHANNINGER RED,Red,독일,"독일, 라인헤센",JOHANNINGER,12.5%,"생 로랑(ST. LAURENT) 39% , 피노 누아(PINOT NOIR) 25% , 멜롯(MERLOT) 24% , 기타(OTHERS) 12%","18,900원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2663
477,아이씨에이치,ICH,White,독일,"독일, 나헤",Lara Haas,12.5%,"피노 비앙코(PINOT BIANCO) 50% , 피노 그리(PINOT GRIS) 50%","14,900원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2662
478,요하닝거 화이트,JOHANNINGER WHITE,White,독일,"독일, 라인헤센",JOHANNINGER,12%,"뮐러투르가우(MULLER - THURGAU) 55% , 소비뇽 블랑(SAUVIGNON BLANC) 20% , 리슬링(RIESLING) 15%, 기타(OTHERS) 15%","18,900원",3.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2661
479,아미치 투 칼론 카베르네 소비뇽,AMICI TO KALON CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아 나파",AMICI CELLARS,14.7%,"카베르네 소비뇽(CABERNET SAUVIGNON) 81% , 카베르네 프랑(CABERNET FRANC) 19%","700,000원",4.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2650
480,아미치 오크빌 랜치 카베르네 소비뇽,AMICI OAKVILLE RANCH CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아 나파",AMICI CELLARS,14.7%,"카베르네 소비뇽(CABERNET SAUVIGNON) 85%, 카베르네 프랑(CABERNET FRANC) 10%, 쁘띠 베르도(PETIT VERDOT) 5%","500,000원",4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2649
481,아미치 미쥬리 하퍼 카베르네 소비뇽,AMICI MISSOURI HOPPER CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아 나파",AMICI CELLARS,14.8%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"500,000원",4.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2646
482,아미치 스프링마운틴 카베르네 소비뇽,AMICI SPRING MOUNTAIN CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아 나파",AMICI CELLARS,14.9%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"400,000원",4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2645
483,아미치 모리솔리빈야드 카베르네 소비뇽,AMICI MORISOLI CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아 나파",AMICI CELLARS,14.7%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"400,000원",4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2644
484,빅뱃,Big Bat (BB),Red,아르헨티나,우코 밸리 (Uco Valley),페나플로 (Penaflor),14%,카베르네 소비뇽 (Cabernet Sauvignon) 100%,,4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2639
485,우나니메 샤르도네,UNANIME CHARDONNAY,White,아르헨티나,멘도사 (Mendoza),페나플로 (Penaflor),14.5%,샤르도네 (Chardonnay) 100%,"70,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2638
486,더 페데럴리스트 버번 배럴 카베르네 소비뇽,THE FEDERALIST BOURBON BARRELS CABERNET SAUVIGNON,Red,미국,"캘리포니아, 로다이",텔라토 패밀리 빈야드 (Terlato Family Vineyards),15%,카베르네 소비뇽 (Cabernet Sauvignon) 100%,"100,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2635
487,마푸 리제르바 카르메네르,Mapu Reserva Carmenere,Red,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 칠레,13.5%,카르메네르(CABERNET SAUVIGNON) 100%,"21,000원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2632
488,마푸 그란 리제르바 카베르네 소비뇽,MAPU GRAN RESERVA CABERNET SAUVIGNON,Red,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 마이포 칠레,13.5%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,"27,000원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2630
489,아미치 리저브 나파밸리 카베르네 소비뇽,AMICI RESERVE NAPA VALLEY CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아 나파",AMICI CELLARS,14.7%,"카베르네 소비뇽(CABERNET SAUVIGNON) 86%, 카베르네 프랑(CABERNET FRANC) 12%, 쁘띠 베르도(PETIT VERDOT) 2%","250,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2628
490,아미치 소노마 코스트 샤르도네,AMICI SONOMA COAST CHARDONNAY,White,미국,"미국, 캘리포니아 소노마",AMICI CELLARS,13.9%,샤르도네(CHARDONNAY) 100%,"70,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2626
491,마푸 그란 리제르바 까리냥,BARON PHILIPPE DE ROTHSCHILD MAPU GRAN RESERVA CARIGNAN,Red,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 칠레,13.5%,까리냥(CARIGNAN) 100%,"27,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2625
492,산 텔모 카베르네 소비뇽,SAN TELMO CABERNET SAUVIGNON,Red,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),12.8%,카베르네 소비뇽(CABERNET SAUVIGNON) 100,"12,900원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2619
493,하디스 HRB 카베르네 소비뇽,HARDYS HRB CABERNET SAUVIGNON,Red,호주,"호주, 남호주",하디스 (Hardys),13.3%,"카베르네 소비뇽(Cabernet Sauvignon) 90%, 메를로(MERLOT) 10%","52,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2615
494,샤또 라 카데리 익스프레션 보르도,CHATEUA LA CADERIE EXPRESSION BORDEAUX,Red,프랑스,"프랑스, 보르도",Chateau La Caderie,-,메를로(MERLOT) 88% 말벡(MALBEC) 12%,"23,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2614
495,배티그 셀렉시옹 파셀라 피노누아,BAETTIG SELECCION PARCELAS PINOT NOIR,Red,칠레,"칠레, 마에이코 밸리",BAETTIG WINE(VIA VINICA SPA),13%,피노누아 (PINOT NOIR) 100%,"150,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2605
496,배티그 셀렉시옹 파셀라 샤르도네,BAETTIG SELECCION PARCELAS CHARDONNAY,White,칠레,칠레,BAETTIG WINE(VIA VINICA SPA),-,샤르도네 (CHARDONNAY) 100%,"150,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2604
497,배티그 비노 비네도 샤르도네,BAETTIG VINO VINEDO CHARDONNAY,White,칠레,"칠레, 마에이코 밸리",BAETTIG WINE(VIA VINICA SPA),-,샤르도네 (CHARDONNAY) 100%,"55,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=2602
498,아일린 하디 쉬라즈,EILEEN HARDY SHIRAZ,Red,호주,남호주 맥라렌베일,ACCOLADE WINES / HARDY's,14%,쉬라즈(Shiraz) 100%,"180,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2599
499,아일린 하디 샤르도네,EILEEN HARDY CHARDONNAY,White,호주,"야라 밸리, 타즈매니아",ACCOLADE WINES / HARDY's,12.8%,샤르도네 100%,"100,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2598
500,우바 마트리스 몬페라토 비앙코 오로라,UVA MATRIS MONFERRATO BIANCO AURORA,White,이탈리아,이탈리아 피에몬테,,,샤르도네(CHARDONNAY) 100%,"22,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2597
501,우바 마트리스 몬페라토 로소 레뷸라,UVA MATRIS MONFERRATO ROSSO NEBULA,Red,이탈리아,이탈리아 피에몬테,,,네비올로(NEBBIOLO) 100%,"45,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2596
502,우바 마트리스 바르베라 델 몬페라토 슈페리오레 사지타,UVA MATRIS BARBERA DEL MONFERRATO SUPERIORE SAGITTA,Red,이탈리아,이탈리아 피에몬테,,,바르베라 (Barbera) 100%,"29,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2595
503,리치텔리 데 라 카사 블랑코,RICCITELLI DE LA CASA BLANCO,White,아르헨티나,Mendoza / Uco Valley,리치텔리 (Matías Riccitelli),12.5%,"소비뇽블랑 40%, 세미용 40%, 샤르도네 20%,","60,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2579
504,양가라 루산,YANGARRA ROUSSANNE,White,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,14.5%,루산,"60,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2575
505,토마스 하디 카베르네 소비뇽,Thomas Hardy Cabernet Sauvignon,Red,호주,쿠나와라(Coonawarra),하디스 (Hardys),13.5%,카베르네 소비뇽 (Cabernet Sauvignon) 100%,"300,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2564
506,에이 투 지 오레곤 피노누아,A TO Z OREGON PINOT NOIR,Red,미국,오레곤,에이 투 지 와인웍스,13.5%,피노누아 100%,"50,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2562
507,에이 투 지 오레곤 샤르도네,A TO Z OREGON CHARDONNAY,White,미국,오레곤,에이 투 지 와인웍스,13%,샤르도네 100%,"35,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2560
508,이자디 라로사 로제,Izadi Larrosa Rosé,Rose,스페인,리오하,보데가스 이자디,13.5%,가르나차 (Garnacha) 100%,,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2548
509,라 필라보아 1898,LA FILLABOA 1898,White,스페인,리아스 바이사스,"필라보아, 마사보 보데가스",13%,알바리뇨 100%,,4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2541
510,크루즈 토니 포트 10년,GRAN CRUZ 10 YEARS OLD TAWNY PORT,Red,기타 구대륙,두리엔세 (Duriense) / 포르토 (Porto),포르토 크루즈 (Porto Cruz),19%,"또우리가 나시오날(Touriga Nacional), 또우리가 프랑카(Touriga Franca), 띤따 바호카(Tinta Barroca)","70,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2538
511,아리고리 이룰레기,HARRI GORRI IROULEGUY,Red,프랑스,이룰레기,도멘 브라나,13%,"타낫 50%, 카베르네 프랑 40%, 카베르네 소비뇽 10%",,3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2536
512,하디스 스탬프 쉬라즈 카베르네,HARDYS STAMP SHIRAZ CABERNET,Red,호주,"호주, 리버랜드(Riverland)",하디스 (Hardys),13.5%,쉬라즈 (Shiraz) & 카베르네 소비뇽 (Cabernet Sauvignon),"14,900원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2056
513,핀카 비야크레세스,FINCA VILLACRECES,Red,스페인,핀카 비야크레세스 (Finca Villacreces),,,750ml,"105,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2051
514,산 필리포 브루넬로 디 몬탈치노 레 루체레,SAN FILIPPO BRUNELLO DI MONTALCINO LE LUCERE,Red,이탈리아,몬탈치노,산 필리포,14.5%,산지오베제 그로쏘 100%,,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2050
515,산 필리포 브루넬로 디 몬탈치노,SAN FILIPPO BRUNELLO DI MONTALCINO,Red,이탈리아,몬탈치노,산 필리포,14.5%,산지오베제 그로쏘 100%,,4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2049
516,[미니와인] 블랙타워 화이트 미니,BLACK TOWER WHITE MINI,White,독일,유럽 커뮤니티,레 켄더만 바인켈러라이,-,템프라니요,,3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2014
517,[미니와인]블랙타워 로제 미니,BLACK TOWER ROSE MINI,Rose,독일,유럽 커뮤니티,레 켄더만 바인켈러라이,-,템프라니요,,3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2013
518,[미니와인] 미니 엠,MINI M,Sweet,독일,스와비안 알프스,,,모스카토,"4,900원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2007
519,제나토 루가나 리제르바 세르지오 제나토,ZENATO LUGANA RISERVA SERGIO ZENATO,White,이탈리아,베네토,제나토,13.5%,트레비아노 디 루가나,"129,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1941
520,도멘 디지오아 로이예 샹볼뮈지니 비에이 비뉴,DOMAINE DIGIOIA ROYER CHAMBOLLE MUSIGNY VIEILLES VIGNES,Red,프랑스,"부르고뉴, 샹볼 뮈지니",,,피노 누아 100%,"270,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1919
521,도멘 디지오아 로이예 샹볼 뮈지니,DOMAINE DIGIOIA ROYER CHAMBOLLE MUSIGNY,Red,프랑스,"부르고뉴, 샹볼 뮈지니",-,14%,피노 누아 100%,"225,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1918
522,홀스 파워 하이 콘트레스트 시라,HORSE POWER HIGH CONTRAST VINEYARD SYRAH,Red,미국,"웰링턴, 왈라왈라",홀스 파워 빈야드,13.5%,시라 100%,,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1898
523,홀스 파워 더 트라이브 빈야드 시라,HORSE POWER THE TRIBE VINEYARD SYRAH,Red,미국,웰링턴 왈라왈라,홀스 파워 빈야드,13.5%,시라 100%,,4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1897
524,프리마크 아비 시캐모어,FREEMARK ABBEY SYCAMORE,Red,미국,"나파 카운티, 러더포드",잭슨 패밀리 와인즈,14.5%,"카베르네 소비뇽 83.1%, 메를로 5.2%, 카베르네 프랑 6.7%, 쁘띠 베르도 5%",,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1892
525,프루노토 로에로 아르네이스,PRUNOTTO ROERO ARNEIS,White,이탈리아,피에몬테,프루노토 / 안티노리,13%,아르네이스 100%,,3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1891
526,퓨레트 드 실렉스 크레망 드 루아르,PURETE DE SILEX CREMANT DE LOIRE,Sparkling,프랑스,루아르,샤또 갈리아르드,12.5%,"슈냉 블랑 50%, 샤르도네 블랑 20%, 카베르네 프랑 20%",,3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1888
527,펫저 플렛베드 레드,FETZER FLATBED RED,Red,미국,캘리포니아,펫저 / 콘차 이 토로,13.9%,"진판델, 쁘띠 쉬라, 쁘띠 베르도",,3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1887
528,티터 토터 샤르도네,TEETER TOTTER CHARDONNAY,White,미국,"캘리포니아, 나파 밸리",펫 맹 와인즈,14.1%,샤르도네(CHARDONNAY) 100%,,4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1882
529,토마레스카 샤르도네,TORMARESCA CHADONNAY,White,이탈리아,풀리아,토마레스카 / 안티노리,12.5%,샤르도네 100%,,3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1880
530,텔루스 시라,TELLUS SYRAH,Red,이탈리아,"라치오, 몬테 피아스코네","파밀리아 코타렐라, 팔레스코",13.6%,시라 100%,,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1878
531,카이유즈 엉 샹벌랭 빈야드 시라,CAYUSE CHAMBERLIN VINEYARD SYRAH,Red,미국,"웰링턴, 왈라왈라 밸리",카이유즈 빈야드,14.7%,시라 100%,,4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1875
532,이자디 블랑코,IZADI BLANCO,White,스페인,리오하,보데가스 이자디,13.5%,"비우라 70%, 말바시아 10%, 템프라니요 블랑코 10%, 가르나차 블랑카 10%",,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1871
533,우르바노,URBANO,Red,스페인,까스티야 라 만차,,,"템프라니요, 카베르네 소비뇽",,,https://www.winenara.com/goods/goods_view.php?goodsNo=1869
534,오르넬라이아,ORNELLAIA,Red,이탈리아,"토스카나, 볼게리",오르넬라이아,14.5%,"카베르네 소비뇽 51%, 메를로 27%, 카베르네 프랑 18%, 쁘띠 베르도 4%",,4.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1868
535,에스쿠도 로호 오리진,ESCUDO ROJO ORIGINE,Red,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,14.5%,카베르네 소비뇽 100%,,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1864
536,어니스트 레미 밀레짐 그랑크뤼,ERNEST REMY BRUT MILLESIME,Champagne,프랑스,그랑크뤼 메이 - 샴페인,어니스트 레미,12%,피노 누아 100%,,4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1861
537,양가라 PF 쉬라즈,YANGARRA PF SHIRAZ,Red,호주,"남호주, 맥라렌 베일, 칸가릴라",잭슨 패밀리 와인즈,13%,쉬라즈 100%,,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1860
538,알파박스 앤 다이스 블러드 오브 쥬피터,BLOOD OF JUPITER,Red,호주,맥라렌 베일,알파 박스 & 다이스,14.5%,"산지오 베제 79%, 카베르네 소비뇽 21%",,4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1858
539,알파박스 앤 다이스 골든 멀렛 퓨리,GOLDEN MULLET FURY,White,호주,"남호주, 맥라렌 베일",알파 박스 & 다이스,13.7%,"세미용 70%, 비오니에 30%",,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1856
540,도멘 브라나 이룰레기,DOMAINE BRANA IROULEGUY,Red,프랑스,이룰레기,도멘 브라나,13%,"타낫 50%, 카베르네 프랑 40%, 카베르네 소비뇽 10%",,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1854
541,센테니얼,CENTENNIAL,Red,미국,"캘리포니아, 로다이",레인지 트윈스,15.6%,진판델 100%,,4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1849
542,샤또 푸르카스 보리,CHATEAU FOURCAS BORIE,Red,프랑스,"보르도, 리스트락 메독",샤또 뒤크리 보카이유,13.5%,"메를로 85~90%, 쁘띠 베르도 10~15%",,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1848
543,부두레아스카 프리미엄 페테아스카 네아그라,BUDUREASCA PREMIUM FETEASCA NEAGRA,Red,기타 구대륙,"루마니아 남부, 데아루 메어 DOC",부두레아스카,14.5%,페테아스카 네아그라 100%,,3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1837
544,본테라 버틀러,BONTERRA THE BUTLER,Red,미국,"캘리포니아, 멘도치노 카운티",본테라 / 콘차 이 토로,15%,"시라 78%, 그르나슈 11%, 쁘띠 시라 9%, 무르베드르 2%",,4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1835
545,본테라 맥냅,BONTERRA THE MC NAB,Red,미국,"캘리포니아, 멘도치노 카운티",본테라 / 콘차 이 토로,14%,"메를로 74%, 카베르네 소비뇽 17%, 말벡 5%, 쁘띠 시라 3%, 카베르네 프랑 1%",,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1834
546,[매그넘]보타 박스 카베르네 소비뇽,BOTA BOX CABERNET SAUVIGNON,Red,미국,캘리포니아,델리카토 패밀리,13.5%,카베르네 소비뇽(Cabernet Sauvignon) 100%,,3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1832
547,[더블매그넘]보타 박스 모스카토,BOTA BOX MOSCATO,Sweet,미국,캘리포니아,델리카토 패밀리,10.5%,모스카토 100%,,3.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1830
548,베리테 르 데지르,VERITE LE DESIR,Red,미국,"캘리포니아, 소노마 카운티",잭슨 패밀리 와인즈,14.5%,"카베르네 프랑 64%, 메를로 24%, 카베르네 소비뇽 8%, 말벡 4%",,4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1829
549,베리테 라 쥬아,VERITE LA JOIE,Red,미국,"캘리포니아, 소노마 카운티",잭슨 패밀리 와인즈,14.5%,"카베르네 소비뇽 76%, 메를로 12%, 카베르네 프랑 8%, 쁘띠 베르도 4%",,4.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1828
550,베리테 라 뮤즈,VERITE LA MUSE,Red,미국,"캘리포니아, 소노마 카운티",잭슨 패밀리 와인즈,14.5%,"메를로 85%, 카베르네 프랑 11%, 말벡 4%",,4.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1827
551,버톨리 키안티,BERTOLI CHIANTI,Red,이탈리아,"토스카나, 키안티",프리텔리 버톨리,12%,"산지오베제 85%, 카나이올로 10%, 실리에지올로 5%",,3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1826
552,몬티아노,MONTIANO,Red,이탈리아,"라치오, 몬테 피아스코네, 카스틸리오네 인 테베리나","파밀리아 코타렐라, 코타렐라",14.5%,메를로 100%,,4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1822
553,마르케제 안티노리 사텐,MARCHESE ANTINORI DONNA CORA SATEN,Sparkling,이탈리아,"롱바르디아, 프란치아코르타",안티노리 몬테리자,12.5%,샤르도네 100%,,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1817
554,마니에테스,MANYETES,Red,스페인,"프리오라트, 카탈루니아",끌로 모가도르,15.5%,카리냥 100%,,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1815
555,르 마치오체 브루넬로 디 몬탈치노 리제르바,LE MACIOCHE BRUNELLO DI MONTALCINO RISERVA,Red,이탈리아,몬탈치노,파밀리아 코타렐라,14.5%,산지오베제 100%,,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1814
556,르 마치오체 브루넬로 디 몬탈치노,LE MACIOCHE BRUNELLO DI MONTALCINO,Red,이탈리아,몬탈치노,파밀리아 코타렐라,14.5%,산지오베제 100%,,4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1813
557,루체 델라 비테 루첸테,LUCE DELLA VITE LUENTE,Red,이탈리아,"토스카나, 몬탈치노",루체 델라 비테,14.5%,"메를로 75%, 산지오베제 25%",,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1812
558,"루체 델라 비테, 브루넬로 디 몬탈치노",LUCE DELLA VITE BRUNELLO DI MONTALCINO,Red,이탈리아,"토스카나, 몬탈치노",루체 델라 비테,15.5%,산지오베제 100%,,4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1811
559,라스 피자라스 피노 누아,LAS PIZARRAS PINOT NOIR,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,13.5%,피노 누아 100%,,4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1809
